O76015	Q9BVG8-5
Q9BYV2	Q96HA8
Q7LBR1	Q9NP79
Q9P2Y5	Q6NUQ1
O43247-2	Q9Y6D9
P56279	A0A0S2Z3D6
Q13064	Q15637
Q8WWR8-2	P63010
P52756	O15042
Q13490	Q9Y572
O15164	P04637
P55081	Q96BR9
O43765	O43765
Q6UY14-3	Q8IYR0
Q969G3	Q9UPT5
Q9H6Z9	O43679
Q68G74	O43679
Q5VWX1	O00560
Q99873	Q12906
Q86Y26	Q9H788
O95751	Q15561
Q16623	Q9BQE5
Q96C24	Q9UGI0
O75886	Q96CS7
Q2I0M5	P45984
Q96PM5	P18085
Q14160	Q9GZV5
Q96JC9	Q12800
Q08AG5	Q5JR59
O75604	P36406
O95947	Q96SF7
Q96GN5	O75558
P22736	Q9P2G1
Q93062	Q93062
Q86VX2	O60826
Q9NRD5	Q8N6Y0
Q96BN8	Q8WW34-2
Q8NC44	Q9GZQ8
Q58DX5-2	Q9NWW5
Q9BT92	Q5JR59-3
P23634	P01258
Q9Y250	Q9H0I2
Q13190	O75410
Q7Z3Y8	Q9Y2Q3-2
A2ABF9	Q7Z3Z2
P12931	Q13177
Q504U0	Q9NRD5
Q71RG4	O43765
Q9NU19	Q13625-3
Q96E35	P59797
Q13287	O75971
O00308	Q8N7B9-2
Q04864	P42773
O95447	O94868-3
Q9C086	Q96MF2
Q86WS4	P63167
Q99592	Q92569
Q86T90	Q9BZW7
Q9BXH1	Q07817-1
Q15554	Q13415
O14490	P62993
Q99706	Q15654
Q99816	Q9BVG8
P56556	O43678
Q6RW13	P43378
Q7Z3Z0	O14964
Q13064	P50221
Q03405-1	P00749
P03372	O14686
Q9BYQ3	O43609
P45984	P0C671
Q9H0I2	Q9UL42
P08519	P02749
P46019	P06132
Q9UNK0	Q96Q45-2
Q99942	Q96LR5
P26998	Q6PKX4
P25490	P49407
P24593	Q9GZY8-5
Q16633	O14770-4
P11940	Q8IYD1
Q8ND90	Q9H0A9-2
Q9H6L4	Q9NYB9
P22626-2	P22626-2
Q12824-2	Q8TAQ2-2
Q5TA76	P26371
P63104	Q9Y2J2
P46063	P52292
Q5D0E6-2	A8MQ03
Q5VWX1	Q8WWY3
P35372-10	Q8IV08
Q08379	P78337
Q96EY8	Q8NA61-2
P60411	Q9P2Z0
Q9Y297	P18848
Q9NZD8	P12004
Q5BKX5-3	P78337
O75084	P62166
Q13490	Q12933
Q9UBB9	Q9BVG8-5
Q16633	Q13227
Q52LG2	Q8IUC1
Q9Y297	Q9C026
P04637	Q13625
